iter	Passed	Remaining
844	2588	474
845	2590	471
846	2592	468
847	2594	465
848	2596	461
849	2598	458
850	2600	455
851	2602	452
852	2604	448
853	2606	445
854	2608	442
855	2610	439
856	2612	435
857	2615	432
858	2617	429
859	2619	426
860	2620	423
861	2622	419
862	2624	416
863	2627	413
864	2629	410
865	2631	407
866	2633	403
867	2635	400
868	2637	397
869	2639	394
870	2641	391
871	2643	388
872	2645	384
873	2647	381
874	2649	378
875	2651	375
876	2653	372
877	2655	368
878	2657	365
879	2660	362
880	2662	359
881	2664	356
882	2666	353
883	2669	350
884	2671	347
885	2673	344
886	2676	340
887	2678	337
888	2680	334
889	2682	331
890	2685	328
891	2687	325
892	2689	322
893	2691	319
894	2693	316
895	2695	312
896	2698	309
897	2700	306
898	2702	303
899	2704	300
900	2706	297
901	2709	294
902	2711	291
903	2713	288
904	2716	285
905	2718	282
906	2720	278
907	2722	275
908	2724	272
909	2726	269
910	2728	266
911	2731	263
912	2733	260
913	2735	257
914	2738	254
915	2740	251
916	2742	248
917	2744	245
918	2746	242
919	2749	239
920	2751	235
921	2753	232
922	2755	229
923	2757	226
924	2760	223
925	2762	220
926	2764	217
927	2766	214
928	2768	211
929	2771	208
930	2773	205
931	2775	202
932	2777	199
933	2779	196
934	2782	193
935	2784	190
936	2786	187
937	2788	184
938	2790	181
939	2792	178
940	2795	175
941	2797	172
942	2799	169
943	2801	166
944	2804	163
945	2806	160
946	2808	157
947	2810	154
948	2812	151
949	2815	148
950	2817	145
951	2819	142
952	2821	139
953	2823	136
954	2826	133
955	2828	130
956	2830	127
957	2832	124
958	2834	121
959	2837	118
960	2839	115
961	2841	112
962	2843	109
963	2846	106
964	2848	103
965	2850	100
966	2852	97
967	2854	94
968	2856	91
969	2859	88
970	2861	85
971	2863	82
972	2865	79
973	2867	76
974	2870	73
975	2872	70
976	2874	67
977	2876	64
978	2879	61
979	2881	58
980	2883	55
981	2885	52
982	2887	49
983	2890	46
984	2892	44
985	2894	41
986	2896	38
987	2898	35
988	2901	32
989	2903	29
990	2905	26
991	2907	23
992	2910	20
993	2912	17
994	2914	14
995	2917	11
996	2919	8
997	2922	5
998	2924	2
999	2927	0
